Season,Team,W,,,,,
2000-01,Philadelphia 76ers ,56,,,,,
2000-01,Miami Heat ,50,,,,,
2000-01,New York Knicks ,48,,,,,
2000-01,Orlando Magic ,43,,,,,
2000-01,Boston Celtics,36,,,,,
2000-01,New Jersey Nets,26,,,,,
2000-01,Washington Wizards,19,,,,,
2000-01,Milwaukee Bucks ,52,,,,,
2000-01,Toronto Raptors ,47,,,,,
2000-01,Charlotte Hornets ,46,,,,,
2000-01,Indiana Pacers ,41,,,,,
2000-01,Detroit Pistons,32,,,,,
2000-01,Cleveland Cavaliers,30,,,,,
2000-01,Atlanta Hawks,25,,,,,
2000-01,Chicago Bulls,15,,,,,
2000-01,San Antonio Spurs ,58,,,,,
2000-01,Utah Jazz ,53,,,,,
2000-01,Dallas Mavericks ,53,,,,,
2000-01,Minnesota Timberwolves ,47,,,,,
2000-01,Houston Rockets,45,,,,,
2000-01,Denver Nuggets,40,,,,,
2000-01,Vancouver Grizzlies,23,,,,,
2000-01,Los Angeles Lakers ,56,,,,,
2000-01,Sacramento Kings ,55,,,,,
2000-01,Phoenix Suns ,51,,,,,
2000-01,Portland Trail Blazers ,50,,,,,
2000-01,Seattle SuperSonics,44,,,,,
2000-01,Los Angeles Clippers,31,,,,,
2000-01,Golden State Warriors,17,,,,,
2001-02,Dallas Mavericks ,57,,,,,
2001-02,Denver Nuggets,27,,,,,
2001-02,Golden State Warriors,21,,,,,
2001-02,Houston Rockets,28,,,,,
2001-02,Los Angeles Clippers,39,,,,,
2001-02,Los Angeles Lakers ,58,,,,,
2001-02,Memphis Grizzlies,23,,,,,
2001-02,Minnesota Timberwolves ,50,,,,,
2001-02,Phoenix Suns,36,,,,,
2001-02,Portland Trail Blazers ,49,,,,,
2001-02,Sacramento Kings ,61,,,,,
2001-02,San Antonio Spurs ,58,,,,,
2001-02,Seattle SuperSonics ,45,,,,,
2001-02,Utah Jazz ,44,,,,,
2001-02,Atlanta Hawks,33,,,,,
2001-02,Boston Celtics ,49,,,,,
2001-02,Charlotte Hornets ,44,,,,,
2001-02,Chicago Bulls,21,,,,,
2001-02,Cleveland Cavaliers,29,,,,,
2001-02,Detroit Pistons ,50,,,,,
2001-02,Indiana Pacers ,42,,,,,
2001-02,Miami Heat,36,,,,,
2001-02,Milwaukee Bucks,41,,,,,
2001-02,New Jersey Nets ,52,,,,,
2001-02,New York Knicks,30,,,,,
2001-02,Orlando Magic ,44,,,,,
2001-02,Philadelphia 76ers ,43,,,,,
2001-02,Toronto Raptors ,42,,,,,
2001-02,Washington Wizards,37,,,,,
2002-03,Dallas Mavericks ,60,,,,,
2002-03,Denver Nuggets,17,,,,,
2002-03,Golden State Warriors,38,,,,,
2002-03,Houston Rockets,43,,,,,
2002-03,Los Angeles Clippers,27,,,,,
2002-03,Los Angeles Lakers ,50,,,,,
2002-03,Memphis Grizzlies,28,,,,,
2002-03,Minnesota Timberwolves ,51,,,,,
2002-03,Phoenix Suns ,44,,,,,
2002-03,Portland Trail Blazers ,50,,,,,
2002-03,Sacramento Kings ,59,,,,,
2002-03,San Antonio Spurs ,60,,,,,
2002-03,Seattle SuperSonics,40,,,,,
2002-03,Utah Jazz ,47,,,,,
2002-03,Atlanta Hawks,35,,,,,
2002-03,Boston Celtics ,44,,,,,
2002-03,Chicago Bulls,30,,,,,
2002-03,Cleveland Cavaliers,17,,,,,
2002-03,Detroit Pistons ,50,,,,,
2002-03,Indiana Pacers ,48,,,,,
2002-03,Miami Heat,25,,,,,
2002-03,Milwaukee Bucks ,42,,,,,
2002-03,New Jersey Nets ,49,,,,,
2002-03,New Orleans Hornets ,47,,,,,
2002-03,New York Knicks,37,,,,,
2002-03,Orlando Magic ,42,,,,,
2002-03,Philadelphia 76ers ,48,,,,,
2002-03,Toronto Raptors,24,,,,,
2002-03,Washington Wizards,37,,,,,
2003-04,Dallas Mavericks ,52,,,,,
2003-04,Denver Nuggets ,43,,,,,
2003-04,Golden State Warriors,37,,,,,
2003-04,Houston Rockets ,45,,,,,
2003-04,Los Angeles Clippers,28,,,,,
2003-04,Los Angeles Lakers ,56,,,,,
2003-04,Memphis Grizzlies ,50,,,,,
2003-04,Minnesota Timberwolves ,58,,,,,
2003-04,Phoenix Suns,29,,,,,
2003-04,Portland Trail Blazers,41,,,,,
2003-04,Sacramento Kings ,55,,,,,
2003-04,San Antonio Spurs ,57,,,,,
2003-04,Seattle SuperSonics,37,,,,,
2003-04,Utah Jazz,42,,,,,
2003-04,Atlanta Hawks,28,,,,,
2003-04,Boston Celtics ,36,,,,,
2003-04,Chicago Bulls,23,,,,,
2003-04,Cleveland Cavaliers,35,,,,,
2003-04,Detroit Pistons ,54,,,,,
2003-04,Indiana Pacers ,61,,,,,
2003-04,Miami Heat ,42,,,,,
2003-04,Milwaukee Bucks ,41,,,,,
2003-04,New Jersey Nets ,47,,,,,
2003-04,New Orleans Hornets ,41,,,,,
2003-04,New York Knicks ,39,,,,,
2003-04,Orlando Magic,21,,,,,
2003-04,Philadelphia 76ers,33,,,,,
2003-04,Toronto Raptors,33,,,,,
2003-04,Washington Wizards,25,,,,,
2004-05,Dallas Mavericks ,58,,,,,
2004-05,Denver Nuggets ,49,,,,,
2004-05,Golden State Warriors,34,,,,,
2004-05,Houston Rockets ,51,,,,,
2004-05,Los Angeles Clippers,37,,,,,
2004-05,Los Angeles Lakers,34,,,,,
2004-05,Memphis Grizzlies ,45,,,,,
2004-05,Minnesota Timberwolves,44,,,,,
2004-05,New Orleans Hornets,18,,,,,
2004-05,Phoenix Suns ,62,,,,,
2004-05,Portland Trail Blazers,27,,,,,
2004-05,Sacramento Kings ,50,,,,,
2004-05,San Antonio Spurs ,59,,,,,
2004-05,Seattle SuperSonics ,52,,,,,
2004-05,Utah Jazz,26,,,,,
2004-05,Atlanta Hawks,13,,,,,
2004-05,Boston Celtics ,45,,,,,
2004-05,Charlotte Bobcats,18,,,,,
2004-05,Chicago Bulls ,47,,,,,
2004-05,Cleveland Cavaliers,42,,,,,
2004-05,Detroit Pistons ,54,,,,,
2004-05,Indiana Pacers ,44,,,,,
2004-05,Miami Heat ,59,,,,,
2004-05,Milwaukee Bucks,30,,,,,
