Name,ASG,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
Henry Aaron,25,143.1,3298,13941,12364,2174,3771,624,98,755,2297,240,73,1402,1383,293,328,121,21,0.305,0.374,0.555,0.928
Pete Alexander,0,3,703,1981,1810,154,378,60,13,11,163,3,6,77,276,0,,,88,0.209,0.242,0.275,0.517
Roberto Alomar,12,67,2379,10400,9073,1508,2724,504,80,210,1134,474,114,1032,1140,62,206,97,148,0.3,0.371,0.443,0.814
Walter Alston,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0
Sparky Anderson,0,-1.2,152,527,477,42,104,9,3,0,34,6,9,42,53,1,15,2,5,0.218,0.282,0.249,0.531
Cap Anson,0,94.4,2524,11331,10281,1999,3435,582,142,97,2075,277,16,984,330,,6,,34,0.334,0.394,0.447,0.841
Luis Aparicio,13,55.8,2599,11231,10230,1335,2677,394,92,83,791,506,136,736,742,22,184,76,161,0.262,0.311,0.343,0.653
Luke Appling,7,77.1,2422,10254,8856,1319,2749,440,102,45,1116,179,108,1302,528,68,129,,74,0.31,0.399,0.398,0.798
Richie Ashburn,6,64.3,2189,9737,8365,1322,2574,317,109,29,586,234,117,1198,571,40,83,18,112,0.308,0.396,0.382,0.778
Earl Averill,6,51.1,1669,7221,6353,1224,2019,401,128,238,1164,70,58,774,518,36,7,,55,0.318,0.395,0.534,0.928
Jeff Bagwell,4,79.9,2150,9431,7797,1517,2314,488,32,449,1529,202,78,1401,1558,155,221,102,3,0.297,0.408,0.54,0.948
Harold Baines,6,38.7,2830,11092,9908,1299,2866,488,49,384,1628,34,34,1062,1441,187,298,99,9,0.289,0.356,0.465,0.82
Home Run Baker,0,62.7,1575,6677,5984,887,1838,315,103,96,991,235,54,473,344,,,,153,0.307,0.363,0.442,0.805
Dave Bancroft,0,49.1,1913,8250,7182,1048,2004,320,77,32,591,145,85,827,487,1,,,212,0.279,0.355,0.358,0.714
Ernie Banks,14,67.7,2528,10396,9421,1305,2583,407,90,512,1636,50,53,763,1236,202,229,96,45,0.274,0.33,0.5,0.83
Jake Beckley,0,61.5,2392,10518,9551,1603,2938,473,244,87,1581,315,,616,526,,,,167,0.308,0.361,0.436,0.797
Johnny Bench,14,75.1,2158,8674,7658,1091,2048,381,24,389,1376,68,43,891,1278,135,201,90,11,0.267,0.342,0.476,0.817
Chief Bender,0,5.2,507,1287,1147,102,243,40,10,6,116,20,2,75,160,,,,42,0.212,0.266,0.28,0.546
Yogi Berra,18,59.5,2120,8364,7555,1175,2150,321,49,358,1430,30,26,704,414,91,146,44,9,0.285,0.348,0.482,0.83
Craig Biggio,7,65.4,2850,12504,10876,1844,3060,668,55,291,1175,414,124,1160,1753,68,150,81,101,0.281,0.363,0.433,0.796
Bert Blyleven,2,-1.6,218,514,451,19,59,7,0,0,25,0,0,5,193,0,4,0,56,0.131,0.144,0.146,0.29
Wade Boggs,12,91.4,2439,10740,9180,1513,3010,578,61,118,1014,24,35,1412,745,180,236,96,29,0.328,0.415,0.443,0.858
Jim Bottomley,0,35,1991,8358,7471,1177,2313,465,151,219,1422,58,40,664,591,22,33,,177,0.31,0.369,0.5,0.869
Lou Boudreau,8,62.9,1646,7025,6029,861,1779,385,66,68,789,51,50,796,309,40,155,,164,0.295,0.38,0.415,0.795
Roger Bresnahan,0,42,1446,5386,4481,682,1252,218,71,26,530,212,4,714,403,,,,112,0.279,0.386,0.377,0.764
George Brett,13,88.6,2707,11625,10349,1583,3154,665,137,317,1596,201,97,1096,908,229,235,120,26,0.305,0.369,0.487,0.857
Lou Brock,6,45.3,2616,11240,10332,1610,3023,486,141,149,900,938,307,761,1730,124,114,46,47,0.293,0.343,0.41,0.753
Dan Brouthers,0,79.8,1676,7691,6726,1529,2303,462,206,107,1301,257,,840,238,,,,20,0.342,0.423,0.52,0.943
Mordecai Brown,0,1.1,493,1244,1143,93,235,20,11,2,73,8,0,44,199,,,,49,0.206,0.236,0.248,0.483
Willard Brown,0,-0.6,21,67,67,4,12,3,0,1,6,2,2,0,7,0,2,,0,0.179,0.179,0.269,0.448
Jim Bunning,9,-0.9,601,1401,1275,82,213,21,4,7,75,0,2,34,362,0,36,6,85,0.167,0.188,0.206,0.395
Jesse Burkett,0,62.8,2067,9629,8426,1720,2850,320,182,75,952,389,,1029,613,,,,90,0.338,0.415,0.446,0.861
Roy Campanella,8,35.6,1215,4816,4205,627,1161,178,18,242,856,25,20,533,501,113,143,18,30,0.276,0.36,0.5,0.86
Rod Carew,18,81.2,2469,10550,9315,1424,3053,445,112,92,1015,353,187,1018,1028,144,216,64,128,0.328,0.393,0.429,0.822
Max Carey,0,54.7,2476,10772,9363,1545,2665,419,159,70,802,738,112,1040,695,1,,,290,0.285,0.361,0.386,0.747
Steve Carlton,10,6.1,699,1881,1719,123,346,49,6,13,140,2,2,41,413,0,33,13,94,0.201,0.223,0.259,0.482
Gary Carter,11,70.1,2296,9019,7971,1025,2092,371,31,324,1225,39,42,848,997,106,180,99,33,0.262,0.335,0.439,0.773
Orlando Cepeda,11,50.1,2124,8699,7927,1131,2351,417,27,379,1365,142,80,588,1169,154,218,74,4,0.297,0.35,0.499,0.849
Frank Chance,0,46,1288,5135,4299,798,1274,200,79,20,596,403,0,556,320,,,,111,0.296,0.394,0.394,0.788
Jack Chesbro,0,0.2,393,1155,1103,85,217,37,13,5,82,5,,25,269,,,,21,0.197,0.216,0.267,0.483
